product_name,brands,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
Salami de dinde,,Meats,3.9,17.1,23.0,,e
Filet de poulet extra tendre thym citron,Le Gaulois,Meats,0.7,22.0,1.6,,a
pur jus de pommes,,Beverages,11.0,0.0,0.0,,c
Saucisses de poulet saveur aux herbes,Lionor,Meats,0.9,17.0,18.0,,d
Chicken kievs,"Marks And Spencer,Marks & Spencer",Meats,2.125,16.375,17.125,1.375,d
Hercules Strong white bread flour,"WholeSense, Bradshaws",Beverages,1.6,9.61,1.5,6.8,a
Broccoli,,Beverages,1.7,3.0,0.4,2.9,unknown
Papaya,,Beverages,8.1,0.75,0.15,1.8,a
Bonbons de chocolat assortis,,Snacks,30.11,6.23,33.74,3.99,e
Pears General,,Beverages,26.0,0.6,0.3,12.0,not-applicable
Merguez de poulet,Lionor,Meats,1.8,14.0,22.0,,e
Muesli Fruits rouges,Bon Et Bio,Beverages,17.0,10.0,15.0,9.5,c
Honeycrisp Apple,,Beverages,10.4395604395604,0.274725274725275,0.164835164835165,2.41758241758242,d
Galette des rois Frangipane,Maître Jean Pierre,Snacks,16.0,6.7,29.0,2.0,e
Sweet Envy,,Beverages,6.7653276955603,0.84566596194503,0.0,0.0,unknown
Riz de camargue long complet,Canavere,Beverages,0.5,7.8,2.6,,unknown
Le fromage fouetté Madame Loïc Nature au sel de guérande,Paysan breton,Dairy,3.0,5.9,24.0,0.0,d
Strolghino di prosciutto,,Meats,0.0,27.7,27.0,,e
Italian tomato puree,Sainsbury's,Beverages,14.9,4.3,0.5,2.9,b
Leite em pó integral instantâneo Glória,Glória,Beverages,40.7407407407407,25.9259259259259,26.6666666666667,0.0,unknown
Cosmic Crisp Apple,,Beverages,10.7142857142857,0.142857142857143,0.357142857142857,4.28571428571429,b
Bisto gravy powder,Bisto,Sauces & Condiments,0.5,0.5,0.5,0.5,e
Chocolate Indulgence IsaLean Whole Blend Whey-Based Bar,Isagenix,Snacks,4.91803278688525,32.7868852459016,14.7540983606557,22.9508196721311,d
Xango Reserve,Isagenix,Beverages,10.0,0.0,0.0,0.0,e
Brochettes dinde,,Meats,1.0,17.0,7.2,,a
Blanc de poulet,,Meats,1.1,21.0,1.0,,d
Tiramisu,Migros Sélection,Dairy,21.0,4.1,13.0,0.6,e
Huile d'Olive Extra Vierge Bio,Kazidomi,Beverages,0.0,0.0,92.0,0.0,b
Turron de trufa,,Snacks,31.86,6.62,36.93,,e
La Casera,La Casera,Beverages,0.0,0.0,0.0,0.0,b
Bananer Bama,Bama dagligvare  as,Beverages,17.0,1.0,0.0,4.0,c
Epler Golden Delicious,Bama dagligvare  as,Beverages,10.1,0.27,0.13,1.3,a
Lime,,Beverages,2.1,1.13,0.15,4.3,a
Organic Raw Pumpkin Seeds,,Beverages,0.0,26.6666666666667,53.3333333333333,3.33333333333333,c
Green Beans,,Beverages,3.26,2.0,0.0,2.85,unknown
Zucchini,,Beverages,1.79,1.0,0.0,1.05,unknown
Green Onions,,Beverages,1.75,2.0,0.0,3.19,unknown
Red Onion,,Beverages,4.8,1.0,0.0,1.7,unknown
Crema de verduras y pollo,viena capellanes,Beverages,1.4,2.7,2.6,,b
Epler Granny Smith,Bama dagligvare  as,Beverages,10.3267973856209,0.326797385620915,0.0,2.28758169934641,a
Gala Apple,,Beverages,10.1,0.27,0.13,1.3,a
"Fleischkäsbrät fein zerkleinert, gepökelt, zum Backen",K Wert Schätze,Meats,0.2,12.0,25.0,0.9,e
Paprika 2stk,First Price,Beverages,4.2,0.8,0.2,0.0,b
Cocadas,Lola organic,Snacks,10.0,10.0,10.0,,e
tree ripened papaya,"sainsbury's,by sainsbury's",Beverages,8.1,0.75,0.15,1.8,a
LEICHT&CROSS,Cereola,Beverages,2.8,9.9,3.5,10.0,b
Thé vert Matcha du Japon,Aroma Zone,Beverages,3.4,19.4,2.4,36.9,b
White Flute,Waitrose,Beverages,1.26166548295455,10.4849644886364,1.43226207386364,6.73989701704545,d
Boisson Nutritionnelle,"Herbalife Nutrition,Herbalife",Beverages,23.0,35.0,9.7,18.0,not-applicable
boisson nutritionnelle Formula 1 Strawberry,Herbalife,Beverages,17.0,39.0,8.0,16.0,not-applicable
Prot Bar pure Choc,Herbalife,Snacks,14.2857142857143,23.2142857142857,10.7142857142857,12.5,unknown
Mini-Naan-Dippers,Asia Green Garden,Beverages,2.9,8.9,3.7,5.6,a
Riso S. Andrea,,Beverages,0.2,7.2,0.5,1.4,unknown
Sandwich jambon fraicheur,Crous Resto',Beverages,1.9,11.3,3.88,2.4,d
Poudre de lait de coco,,Beverages,7.1,17.0,63.0,4.8,unknown
Glace  boFrost,Bofrost,Frozen Foods,23.7999992370605,4.0,16.2000007629395,1.79999995231628,unknown
Fresh Garlic: produce code: ?,Bulk: by weight,Beverages,1.2,5.31,0.25,5.8,a
Italian Fusilli,Amway,Beverages,2.5,12.0,1.5,3.0,unknown
Slow Cooked Turkey Joint with bacon and sruffing,Sainsbury's,Meats,0.5,25.1,6.3,0.5,c
Yellow Bell Pepper,,Beverages,4.4,0.8,0.5,1.0,a
Rooibos de Noel,Aroma zone,Beverages,0.0,0.1,0.0,0.0,b
piadina romagnola alla riminese all'olio extra vergine di oliva,Da Gastone s. r. l.,Beverages,1.62393162393162,7.09401709401709,7.00854700854701,1.88034188034188,d
Kålrot stykk,Bama dagligvare  as,Beverages,4.46,1.17,0.13,2.6,unknown
Melon medley,Tesco,Beverages,5.9,0.5,0.2,1.0,a
Menthe digestive,Aroma zone,Beverages,0.0,0.0,0.0,,unknown
Fromage blanc à la creme de marron,Crous,Dairy,17.4,5.1,5.9,0.6,c
Mini bagels,,Beverages,13.95,9.3,2.33,2.3,d
Sweet Potato,,Beverages,4.18,1.57,0.05,3.0,unknown
Magdalenas mini clasicas,,Snacks,24.0,5.5,17.0,,d
blueberry muffins,Entenmann's,Beverages,3.0,6.0,2.0,4.0,not-applicable
Bush’s Brown Sugar Hickory Baked Beans,Full circle market,Beverages,1.0,2.0,0.5,7.0,unknown
pearl milling company maple pancake on the go,Muscle milk,Beverages,23.33,10.0,7.5,1.67,e
Garden Salsa,Sun Chips,Snacks,1.0,5.0,1.0,6.0,unknown
Muscle Milk Vanilla Creme,Muscle milk,Beverages,2.86,45.71,11.43,8.57,unknown
Marias,Gamesa,Beverages,14.0,3.0,7.0,1.0,not-applicable
Organic tomato pulp,Kazidomi,Beverages,4.5,1.4,0.1,2.2,a
ORGANIC TOMATO SAUCE ARRABIATA,,Sauces & Condiments,4.1,1.6,4.2,,b
Tomato sauce with eggplants,Kazidomi,Sauces & Condiments,4.0,1.4,3.2,,c
Sauce Tomate Puttanesca Bio Kazidomi,Kazidomi,Sauces & Condiments,3.8,1.5,5.2,1.7,a
Sauce Tomate Aux Courgettes Bio Kazidomi,Kazidomi,Sauces & Condiments,4.0,1.5,3.2,2.0,a
Sauce Tomate Au Thon & Olives Bio Kazidomi,Kazidomi,Sauces & Condiments,3.8,2.5,3.7,2.0,a
Organic tomato sauce bolognese,Kazidomi,Meats,3.2,4.2,8.0,,b
Sauce tomate aux légumes bio,Kazidomi,Sauces & Condiments,4.0,1.4,3.9,2.0,a
Passata de tomates bio,Kazidomi,Beverages,4.3,1.6,0.2,1.6,a
Organic pesto alla genovese,,Sauces & Condiments,1.0,5.9,64.5,,e
Organic vegan pesto,Kazidomi,Sauces & Condiments,1.0,5.8,64.6,,e
pesto,Kazidomi,Sauces & Condiments,0.5,8.2,53.2,1.3,e
Crème D'Olives Noires Bio Kazidomi,Kazidomi,Beverages,0.6,1.2,41.7,2.9,e
Pesto Rosso,,Sauces & Condiments,9.4,5.2,38.8,,e
Pan de leche redondo,,Snacks,3.3,10.7,2.1,,a
Organic tomato sauce arrabiata,,Sauces & Condiments,4.1,1.5,4.2,,b
Baguette constance,Intermarché,Beverages,3.1,9.8,1.2,,d
L’authentique pain paillasse cereales,,Beverages,2.0,8.5,2.0999999046326,,c
Beignets fourres au chocolat,,Snacks,19.0,6.7,19.0,,d
Mini beignets assortis,,Snacks,22.0,7.9,25.0,,unknown
cuisse de poulet direct au four curry,,Meats,0.9,17.0,13.0,,c
Nussmischung 4fach,Top Fruits,Beverages,5.0,18.1,58.9,7.9,c
Bagel,,Beverages,3.0,8.4,5.0,,b
Früchtemischung Bonbon,,Snacks,74.2,0.0,0.0,,e
Jus de pomme,Helior,Beverages,9.7,0.5,0.5,,c
BAguette bressan,Crousresto',Beverages,0.6,9.5,2.2,1.6,a
Pain de mie sans gluten,Genius,Beverages,4.4,4.4,6.3,5.8,c
Flocon d'avoine - complète,Terres et Céréales Bio,Beverages,1.0,12.0,7.1,,b
CAP’N CRUNCH,,Beverages,44.736842105263,5.2631578947368,3.9473684210526,2.6315789473684,e
Pavé de saumon fumé à la ficelle,,Fish & Seafood,0.5,23.0,17.0,,d
Nutrional shake,,Beverages,23.0,35.0,6.6,18.0,e
Donuts,,Snacks,20.0,4.6,17.0,,e
Baguettes céréales,La Campanière,Beverages,3.8,9.4,3.0,5.5,c
Pavé de saumon fumé à la ficelle,,Fish & Seafood,0.0,23.0,17.0,,d
Sweetened sunflower seeds,Cha Cheer,Beverages,7.0,29.0,46.0,,e
Banana 5 pack,Best Farm,Beverages,15.6,1.06,0.25,2.7,a
Mango Sinduri,,Beverages,12.9,0.63,0.25,1.6,a
Saint Hubert 41,,Beverages,2.5,1.5,38.0,,unknown
Teigwaren,De Cecco,Snacks,3.4,14.0,1.5,2.9,unknown
oeuf de goeland chocolat vrac,,Snacks,31.0,5.9,47.0,,e
Donuts fourrage vanille,,Snacks,14.0,4.3,17.0,,e
Fit-food Harina de avena salada,life pro fit-food,Beverages,0.6,9.7,5.03,,c
Donuts coco noisette,,Snacks,21.0,5.8,24.0,,e
Beignets framboises,Intermarché,Snacks,12.7,5.8,,0.0,unknown
Penne trigo sarraceno,Felicia,Beverages,0.9,11.0,2.9,4.5,unknown
Coquillettes maïs et riz,,Beverages,1.0,7.1,1.4,2.1,b
Migni beignets assortis,,Snacks,22.0,7.9000000953674,25.0,,e
L'Envoûtante (Pain),,Beverages,3.1,10.1,2.1,,c
pate de piment,traiteur le reunionnais,Beverages,1.11,0.454,10.109,0.465,not-applicable
The noir parfumé,Fauchon,Beverages,0.0,0.1,0.0,,b
porridge,great British porridge company,Beverages,16.0,11.0,10.0,8.9,c
Milton's Galletas Saladas Multigrano 4 pzas de 238 g,Milton´s,Snacks,6.3,6.3,18.8,6.3,c
Amandes grillées sans sel,,Beverages,4.7,23.0,57.0,,b
Muffin double chocolat,,Snacks,26.8,5.8,24.3,,d
Pain complet,Intermarché,Beverages,1.4,10.5,1.3,8.2,a
Pain complet,,Beverages,1.4,10.5,1.3,8.2,a
Pain de campagne bio nature,,Beverages,1.3,7.4,1.2,,c
Truffes Fantaisie Biologiques,,Snacks,32.0,4.2,53.0,,unknown
Peanut Butter Filled Pretzel Nuggets,Trader Joe's,Snacks,6.45,16.1,22.6,3.23,d
Houmous oignons caramélisés,Fontaine santé,Beverages,3.33333333333333,6.66666666666667,16.6666666666667,3.33333333333333,b
Hierba de trigo,,Sauces & Condiments,9.3,13.0,2.1,52.5,a
CORNED BEEF,,Meats,1.0,24.0,15.0,,d
Garofalo Gluten Free Pasta,Garofalo,Beverages,0.5,7.0,1.6,0.9,b
Oreillettes,Pays Gourmand,Beverages,28.0,6.7,15.0,4.20176,e
Wholemeal Heyford,,Beverages,2.7,11.0,2.9,9.4,a
Pain epeautre,,Beverages,1.4,11.1,1.6,,c
Semillas de cáñamo peladas,Saludviva,Beverages,2.4,25.4,47.7,,c
Saumon fumé sauvage,Labeyrie,Fish & Seafood,0.800000011920929,24.0,2.59999990463257,1.0,unknown
